nm_place,volume_event
脚下咖啡(灵光东巷),10
今日美术馆,800
今日陶艺(富力广场店),10
金逸影城(朝阳大悦城店),300
劲松笑逗脱口秀剧场,150
京彩瓷博物馆,10
京东植物工厂,10
京阁酒廊CapitalLounge,30
竞园艺术中心,60
九局棒球(万柳亿城中心C2座店),10
九思茶书苑(丰台区宋家庄交通枢纽大厦店),30
九万杯（麒麟社望京店）,50
觉品手作皮具体验馆(万达广场D座店),10
咔咖咖啡(天安天地大厦店),10
卡文迪音乐厅,150
开心麻花磁剧场,227
开心麻花-麻花脱口秀剧场,200
靠边走艺术空间,200
氪空间(国贸大都会社区),35
肯德基(翠城永辉店),10
肯德基(东五环富力餐厅),10
肯德基(方庄桥店),10
肯德基(光彩路餐厅),10
空间咖啡,20
孔庙和国子监博物馆,10
库布里克书店,10
莱锦文化创意产业园黑白艺术空间,20
兰境艺术中心,300
兰境艺术中心,300
蓝调庄园国际马术俱乐部,10
郎园PARK-VROOM空间,100
郎园park像素艺廊,10
老舍茶馆,250
老舍茶馆(前门店),250
乐滑之梦冰乐园-王府中環店,500
乐滑之梦冰乐园-喜隆多店,500
乐滑之梦冰乐园-悠唐购物中心店,500
乐滑之梦冰乐园-中粮祥云小镇店,500
乐滑之梦滑冰场,500
乐空间,243
乐卓爱探奇乐园,2
雷剧场,150
李宁健吾羽奕体育中心羽毛球馆,12
李宁体育馆,12
良阅城市书房,15
亮相·天乐园,100
瞭仓沉浸式数字艺术馆(首钢园店),1000
零号空间·VR沉浸影像馆(荟聚店),200
刘老根大舞台,300
刘天池表演工坊,20
留滋小院,10
隆福剧场,530
隆福文化中心,10
卢米埃北京长楹天街IMAX影城2号厅,135
鲁迅博物馆,100
罗红摄影艺术馆,200
码字人书店,100
漫咖啡(团结湖店),20
梅兰芳大剧院,573
梅兰芳大剧院-大剧场,1028
梅兰芳大剧院-四层小剧场,158
美代文化·美苑,10
美都脱口秀笑剧场(工体店),312
美嘉欢乐影城六号厅(三里屯店),218
魅影侦探-沉浸剧场,20
米开朗基罗艺术馆,30
苗祖咖啡,10
民族文化宫大剧院,1100
鸣珊沉浸演绎基地,30
摩卡艺术中心,200
木木美术馆,800
木木艺术社区,800
南池子美术馆,300
南海子公园,100
南阳共享际剧场,180
盘山滑雪场,30
蓬蒿剧场,86
七号江湖LIVE,200
七又五分之一艺术空间,100
奇境迷宫探险馆,30
奇葩减压馆(国瑞购物中心店),30
桥艺术空间,300
且庭,10
青春光线电影院,135
青蓝剧场,300
清华大学艺术博物馆,100
全民畅读艺术书店(首钢店),150
日升小馆(光华东里店),6
荣祥广场星巴克咖啡厅,10
瑞幸咖啡（高和萃店）,10
三里河公园,100
三里屯·爱乐汇-VR沉浸式影厅,200
三里屯·爱乐汇艺术空间-城市演奏厅,243
三里屯·爱乐汇艺术空间-时空剧场,217
三里屯艾米1895剧场,150
三里屯脱口秀俱乐部,312
三里屯脱口秀喜剧(永利国际剧场),312
三联韬奋书店(美术馆店),20
三睦威士忌酒吧(华贸店),30
三庆园,200
三庆园,200
山中天艺术中心,100
山中天艺术中心,100
上奥世纪中心,50
上地之城零度club,20
尚8剧场,20
射箭吧射箭馆(望京旺角购物广场店),20
盛玺茶苑,100
十点睡觉艺术空间,10
十月时光书店,30
石京龙滑雪场,100
石刻艺术博物馆,30
时间剧场TIME THEATRE,20
时间剧场TIME THEATRE,20
世纪金源中心黑白艺术空间,20
世纪剧院,1713
首创郎园Station,999
首创郎园Station-集装箱剧场,500
首创郎园Station-准点剧场,600
首都博物馆,500
首都电影院,273
首都电影院（昌平店）,123
首都电影院(西单店),243
首都电影院昌平店4号厅,123
首都电影院西单店12号厅,145
首都剧场,1302
书剑茶书院,10
数码01大厦25层方舟部落,10
顺时而饮茶吧,20
顺义大剧院,969
顺义区文化中心,969
四季体育馆,12
松美术馆,300
松美术馆,300
宋庄当代艺术文献馆,300
宋庄足球公园,30
颂艺术中心,50
速度之星冰乐园-户外滑冰场,500
太平洋咖啡(北京国贸2店),10
泰康空间,150
泰舍书局,500
糖果俱乐部(和平里西街店),10
桃丝酒店源本咖啡,10
陶然天美术馆,80
天乐园大戏楼,200
天桥德云社剧场,300
天桥剧场,1215
天桥演艺区(万胜大剧场),300
天桥艺术中心,1000
天桥艺术中心-大剧场,1600
天桥艺术中心-多功能厅,300
天桥艺术中心-小剧场,400
天桥艺术中心-中剧场,1000
天视漫吧,100
天坛街道市民活动中心,200
天坛南门剧场,200
天天巷上艺术街区,20
天通苑文化艺术中心,243
天竺黄花梨艺术馆,10
听海阁相声会馆,150
通州图书馆,10
同乐园剧场,300
万达影城(北京CBD万达广场店),250
万达影城(北京CBD万达广场店),500
万达影城CBD店,500
万达影城通州万达广场店12号厅,110
万胜剧场,200
王府井书店,20
王府井银泰in88,300
望京茶城(六佰本店),10
未来剧院,600
温莎KTV,20
温莎ktv(国贸店),20
沃美影城（世界城店）,120
五矿广场,30
西单首都电影院9号厅,243
西门金街彩虹艺术空间,30
熙剧场(枫蓝国际购物中心店),200
嘻哈包袱铺-方庄剧场,100
嘻哈包袱铺-合生汇剧场,#N/A
嘻哈包袱铺-交道口剧场,80
嘻哈包袱铺-五棵松剧场,276
喜番club,200
鲜榨喜剧,30
现代汽车文化中心,20
想象空间,243
潇湘府(上地店),15
小柯剧场,200
笑梗脱口秀俱乐部-西单首都电影院9号厅,270
笑梗脱口秀剧场(三里屯店),150
笑梗脱口秀剧场(天桥店),250
笑梗脱口秀剧场(西单店),150
